deceptive practice,28,4,985.6000000000001
battery,43,12,2128.5
public peace violation,1,1,4.060058497098381
prostitution,1,1,2.0300292485491904
motor vehicle theft,14,0,466.19999999999993
crim sexual assault,0,0,0
weapons violation,1,0,49.5
homicide,0,0,0
other offense,16,2,784.0
narcotics,20,20,46.28466686692155
criminal trespass,8,5,64.74678164617384
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,25,6,1300.0
theft,147,9,4321.8
burglary,13,1,613.6
arson,2,0,79.2
liquor law violation,0,0,0
interference with public officer,0,0,0
stalking,0,0,0
criminal damage,47,3,1654.4
robbery,27,1,2332.8
offense involving children,3,0,148.5
