HX337562,7/9/2014,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",N,N,511
HX348914,7/10/2014,ASSAULT,SIMPLE,APARTMENT,N,N,511
HX341416,7/11/2014,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,STREET,N,N,511
HX347562,7/16/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,511
HX346387,7/15/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,N,Y,511
HX335971,7/8/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,Y,N,511
HX337382,7/9/2014,BATTERY,SIMPLE,TAXICAB,N,N,511
HX340930,7/11/2014,BATTERY,SIMPLE,DEPARTMENT STORE,Y,N,511
HX348136,7/16/2014,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,N,N,511
HX333763,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,Y,511
HX340798,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,511
HX341821,7/12/2014,BATTERY,SIMPLE,RESIDENCE,N,Y,511
HX342917,7/13/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,511
HX346825,7/15/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,511
HX349380,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,511
HX350872,7/18/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,N,Y,511
HX346100,7/7/2014,BURGLARY,UNLAWFUL ENTRY,ABANDONED BUILDING,N,N,511
HX339241,7/7/2014,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",N,N,511
HX337013,7/8/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,511
HX347411,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,511
HX343130,7/13/2014,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESTAURANT,N,N,511
HX345900,7/14/2014,BURGLARY,UNLAWFUL ENTRY,SPORTS ARENA/STADIUM,N,N,511
HX346931,7/15/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,511
HX344466,7/14/2014,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,N,N,511
HX333130,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,Y,N,511
HX334352,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,511
HX334444,7/7/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,N,N,511
HX339713,7/10/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,511
HX340854,7/10/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,511
HX343162,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,511
HX344002,7/13/2014,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,N,N,511
HX344084,7/13/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),N,N,511
HX345283,7/14/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,511
HX349474,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,511
HX349837,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,511
HX333921,7/6/2014,CRIMINAL TRESPASS,TO LAND,TAVERN/LIQUOR STORE,N,N,511
HX334088,7/6/2014,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Y,N,511
HX335014,7/7/2014,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Y,N,511
HX339320,7/9/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,N,N,511
HX343858,7/13/2014,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,511
HX347642,7/16/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, GROUNDS",Y,N,511
HX335698,7/7/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,SPORTS ARENA/STADIUM,Y,N,511
HX348765,7/16/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,511
