HX347588,7/16/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,N,N,2411
HX348584,7/17/2014,BATTERY,SIMPLE,DRUG STORE,N,N,2411
HX339749,7/10/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2411
HX346429,7/15/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2411
HX351019,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,2411
HX339308,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2411
HX337547,7/8/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,2411
HX345956,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,2411
HX344248,7/14/2014,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,N,N,2411
HX345167,7/14/2014,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,2411
HX344711,7/14/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,2411
HX336434,7/8/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2411
HX354461,7/11/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2411
HX341194,7/11/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,SIDEWALK,N,Y,2411
HX337826,7/9/2014,OTHER OFFENSE,TELEPHONE THREAT,STREET,N,N,2411
HX341055,7/11/2014,OTHER OFFENSE,TELEPHONE THREAT,OTHER,N,N,2411
HX333292,7/5/2014,THEFT,OVER $500,STREET,N,N,2411
HX335187,7/7/2014,THEFT,RETAIL THEFT,DRUG STORE,N,N,2411
HX337651,7/9/2014,THEFT,RETAIL THEFT,DRUG STORE,N,N,2411
HX341159,7/9/2014,THEFT,OVER $500,OTHER,N,N,2411
HX341894,7/11/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,2411
HX343055,7/13/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,2411
HX355452,7/14/2014,THEFT,FROM BUILDING,ABANDONED BUILDING,N,N,2411
HX345171,7/14/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,2411
HX347074,7/16/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2411
HX347628,7/16/2014,THEFT,$500 AND UNDER,STREET,N,N,2411
HX341825,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,2412
HX341932,7/12/2014,BATTERY,SIMPLE,APARTMENT,Y,N,2412
HX332991,7/5/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,Y,N,2412
HX338312,7/9/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2412
HX339265,7/10/2014,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,2412
HX347649,7/16/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2412
HX334300,7/6/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Y,N,2412
HX370940,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2412
HX348939,7/9/2014,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,N,N,2412
HX334147,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2412
HX342130,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2412
HX347492,7/13/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2412
HX345849,7/15/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2412
HX337368,7/9/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2412
HX338681,7/9/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2412
HX338680,7/9/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,2412
HX344017,7/13/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2412
HX344063,7/13/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,2412
HX344756,7/14/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2412
HX345388,7/14/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2412
HX345438,7/14/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2412
HX341281,7/11/2014,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,N,N,2412
HX346598,7/15/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,2412
HX337679,7/8/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,2412
HX339645,7/10/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,2412
HX451131,7/6/2014,THEFT,FROM BUILDING,OTHER,N,N,2412
HX333609,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,2412
HX340601,7/9/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,2412
HX350264,7/12/2014,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,2412
HX342694,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,2412
HX352866,7/13/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2412
HX343766,7/13/2014,THEFT,$500 AND UNDER,STREET,N,N,2412
HX345286,7/14/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,2412
HX351723,7/18/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2412
HX351258,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2412
HX350353,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2412
HX337004,7/8/2014,ASSAULT,SIMPLE,ALLEY,N,N,2413
HX338333,7/9/2014,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,N,N,2413
HX346283,7/15/2014,ASSAULT,SIMPLE,APARTMENT,N,N,2413
HX347840,7/16/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENTIAL YARD (FRONT/BACK),N,N,2413
HX335686,7/7/2014,ASSAULT,SIMPLE,ALLEY,N,Y,2413
HX333447,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,2413
HX334190,7/6/2014,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2413
HX335802,7/7/2014,BATTERY,SIMPLE,STREET,N,N,2413
HX337223,7/8/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,2413
HX338785,7/10/2014,BATTERY,SIMPLE,STREET,N,N,2413
HX351480,7/18/2014,BATTERY,SIMPLE,RESIDENCE,N,N,2413
HX351568,7/18/2014,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2413
HX342574,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2413
HX343570,7/13/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2413
HX348298,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2413
HX349063,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2413
HX343132,7/13/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,2413
HX346776,7/15/2014,BURGLARY,HOME INVASION,APARTMENT,N,N,2413
HX339790,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,2413
HX337996,7/9/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2413
HX344611,7/13/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,2413
HX348906,7/16/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2413
HX354574,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2413
HX335861,7/8/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,2413
HX460254,7/7/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,2413
HX366697,7/14/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,2413
HX349573,7/15/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,N,N,2413
HX347999,7/16/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SMALL RETAIL STORE,N,N,2413
HX343031,7/12/2014,KIDNAPPING,KIDNAPPING,SIDEWALK,N,N,2413
HX335968,7/7/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,VEHICLE NON-COMMERCIAL,Y,N,2413
HX340131,7/11/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,Y,N,2413
HX332834,7/5/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,2413
HX341609,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SPORTS ARENA/STADIUM,Y,N,2413
HX342265,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2413
HX343566,7/13/2014,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,Y,N,2413
HX344003,7/13/2014,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,Y,N,2413
HX345433,7/14/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2413
HX345439,7/14/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2413
HX341856,7/12/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENTIAL YARD (FRONT/BACK),N,N,2413
HX342968,7/13/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,SIDEWALK,Y,N,2413
HX343467,7/13/2014,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,Y,N,2413
HX364382,7/15/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,2413
HX509367,7/16/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2413
HX369394,7/16/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2413
HX361648,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,2413
HX350166,7/18/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,2413
HX346593,7/15/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,2413
HX337963,7/6/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,2413
HX336975,7/8/2014,THEFT,$500 AND UNDER,STREET,N,N,2413
HX336831,7/8/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2413
HX341763,7/12/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2413
HX346817,7/15/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,2413
HX355524,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2413
HX339821,7/10/2014,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,2413
HX349669,7/18/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,Y,N,2413
HX339493,7/10/2014,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2422
HX343061,7/13/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,2422
HX343686,7/13/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,PARK PROPERTY,Y,N,2422
HX349174,7/17/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,2422
HX337338,7/9/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,Y,Y,2422
HX345526,7/14/2014,BATTERY,SIMPLE,RESTAURANT,N,N,2422
HX347959,7/16/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,2422
HX349295,7/17/2014,BATTERY,SIMPLE,SIDEWALK,N,N,2422
HX349305,7/17/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,Y,N,2422
HX340950,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2422
