deceptive practice,11,0,387.20000000000005
battery,50,22,2475.0
public peace violation,5,4,55.18191617571635
prostitution,11,11,22.330321734041096
motor vehicle theft,15,2,499.49999999999994
crim sexual assault,1,0,115.0
weapons violation,8,8,53.59277216169863
homicide,3,1,615.0
other offense,14,4,686.0
narcotics,47,47,108.76896713726563
criminal trespass,10,6,80.93347705771731
gambling,1,1,0.6766764161830635
kidnapping,0,0,0
intimidation,0,0,0
sex offense,3,1,174.60000000000002
assault,21,12,401.72434975921504
theft,58,7,1705.1999999999998
burglary,18,1,849.6
arson,4,0,158.4
liquor law violation,0,0,0
interference with public officer,2,2,5.9547524624109585
stalking,0,0,0
criminal damage,34,5,1196.8000000000002
robbery,15,0,1296.0
offense involving children,1,1,6.699096520212329
