deceptive practice,13,0,457.6
battery,17,9,309.57054974576874
public peace violation,3,1,90.0
prostitution,0,0,0
motor vehicle theft,1,1,4.506664931779203
crim sexual assault,0,0,0
weapons violation,2,2,13.398193040424658
homicide,0,0,0
other offense,10,5,180.26092617400676
narcotics,12,12,27.770800120152927
criminal trespass,6,4,48.56008623463039
gambling,0,0,0
kidnapping,1,0,108.0
intimidation,0,0,0
sex offense,1,1,7.87651348437086
assault,10,5,191.29730940915002
theft,23,2,676.1999999999999
burglary,19,3,896.8000000000001
arson,0,0,0
liquor law violation,1,1,0.6902099445067247
interference with public officer,1,1,2.9773762312054792
stalking,0,0,0
criminal damage,16,1,563.2
robbery,4,0,345.6
offense involving children,2,0,99.0
