deceptive practice,20,0,704.0
battery,39,25,710.1912611814694
public peace violation,3,0,90.0
prostitution,0,0,0
motor vehicle theft,15,0,499.49999999999994
crim sexual assault,0,0,0
weapons violation,0,0,0
homicide,0,0,0
other offense,11,1,539.0
narcotics,20,20,46.28466686692155
criminal trespass,15,13,121.40021558657597
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,11,8,210.42704035006503
theft,133,8,3910.2
burglary,29,0,1368.8000000000002
arson,0,0,0
liquor law violation,5,5,3.451049722533624
interference with public officer,6,6,17.864257387232875
stalking,0,0,0
criminal damage,31,6,1091.2
robbery,12,2,1036.8000000000002
offense involving children,0,0,0
