deceptive practice,15,2,528.0
battery,51,36,928.7116492373061
public peace violation,2,2,8.120116994196762
prostitution,0,0,0
motor vehicle theft,16,1,532.8
crim sexual assault,0,0,0
weapons violation,5,5,33.495482601061646
homicide,0,0,0
other offense,24,15,432.62622281761617
narcotics,33,33,76.36970033042056
criminal trespass,11,8,89.02682476348905
gambling,2,2,1.353352832366127
kidnapping,1,0,108.0
intimidation,0,0,0
sex offense,0,0,0
assault,27,11,1404.0
theft,62,2,1822.8
burglary,29,1,1368.8000000000002
arson,2,0,79.2
liquor law violation,0,0,0
interference with public officer,5,5,14.886881156027398
stalking,0,0,0
criminal damage,33,1,1161.6000000000001
robbery,17,1,1468.8000000000002
offense involving children,1,0,49.5
