deceptive practice,14,3,492.80000000000007
battery,24,9,1188.0
public peace violation,1,1,4.060058497098381
prostitution,0,0,0
motor vehicle theft,9,1,299.7
crim sexual assault,1,0,115.0
weapons violation,1,0,49.5
homicide,0,0,0
other offense,9,3,441.0
narcotics,15,15,34.71350015019116
criminal trespass,6,4,48.56008623463039
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,9,3,468.0
theft,50,8,1470.0
burglary,9,2,424.8
arson,0,0,0
liquor law violation,2,2,1.3804198890134494
interference with public officer,0,0,0
stalking,0,0,0
criminal damage,16,3,563.2
robbery,4,0,345.6
offense involving children,1,0,49.5
