deceptive practice,25,1,880.0000000000001
battery,36,18,655.5611641675102
public peace violation,4,4,16.240233988393523
prostitution,1,1,2.0300292485491904
motor vehicle theft,14,0,466.19999999999993
crim sexual assault,1,0,115.0
weapons violation,2,2,13.398193040424658
homicide,0,0,0
other offense,15,4,735.0
narcotics,53,53,122.6543671973421
criminal trespass,20,14,161.86695411543462
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,20,5,1040.0
theft,78,8,2293.2
burglary,47,3,2218.4
arson,2,0,79.2
liquor law violation,0,0,0
interference with public officer,2,2,5.9547524624109585
stalking,0,0,0
criminal damage,47,0,1654.4
robbery,14,3,1209.6000000000001
offense involving children,2,0,99.0
