HX347144,7/16/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,COMMERCIAL / BUSINESS OFFICE,Y,N,1911
HX342719,7/12/2014,BATTERY,SIMPLE,STREET,Y,N,1911
HX343024,7/13/2014,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,N,N,1911
HX337973,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1911
HX337327,7/9/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1911
HX338734,7/9/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,N,Y,1911
HX343955,7/13/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1911
HX346082,7/15/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1911
HX337087,7/8/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1911
HX349925,7/17/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE PORCH/HALLWAY,N,N,1911
HX342296,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,N,N,1911
HX354242,7/7/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1911
HX344272,7/13/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1911
HX340650,7/11/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,1911
HX352776,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1911
HX338642,7/7/2014,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,N,Y,1911
HX343109,7/13/2014,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,SIDEWALK,N,N,1911
HX351512,7/11/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,1911
HX344772,7/11/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,1911
