deceptive practice,12,0,422.40000000000003
battery,50,24,2475.0
public peace violation,6,6,24.360350982590287
prostitution,0,0,0
motor vehicle theft,11,0,366.29999999999995
crim sexual assault,1,0,115.0
weapons violation,12,6,218.52038805583675
homicide,1,1,27.743733063505605
other offense,18,6,882.0
narcotics,46,46,106.45473379391956
criminal trespass,7,6,56.65343394040212
gambling,2,2,1.353352832366127
kidnapping,0,0,0
intimidation,0,0,0
sex offense,1,0,58.2
assault,24,8,1248.0
theft,82,5,2410.7999999999997
burglary,24,1,1132.8000000000002
arson,1,1,5.359277216169863
liquor law violation,0,0,0
interference with public officer,1,1,2.9773762312054792
stalking,0,0,0
criminal damage,46,3,1619.2
robbery,27,2,2332.8
offense involving children,2,0,99.0
