HX343577,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1811
HX345202,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1811
HX349640,7/18/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,1811
HX336339,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1811
HX344052,7/13/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1811
HX340752,7/10/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,1811
HX349260,7/11/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1811
HX349903,7/17/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,N,N,1811
HX340442,7/6/2014,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),N,N,1811
HX349364,7/17/2014,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PRIVATE, BUILDING",Y,N,1811
HX399134,7/14/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1811
HX350311,7/18/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,N,N,1811
HX333082,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1811
HX343328,7/13/2014,PUBLIC PEACE VIOLATION,BOMB THREAT,CONVENIENCE STORE,N,N,1811
HX344222,7/14/2014,ROBBERY,AGGRAVATED,SIDEWALK,N,N,1811
HX334780,7/7/2014,THEFT,$500 AND UNDER,OTHER,N,N,1811
HX337555,7/8/2014,THEFT,OVER $500,STREET,N,N,1811
HX339587,7/10/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1811
HX350568,7/11/2014,THEFT,$500 AND UNDER,STREET,N,N,1811
HX341184,7/11/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1811
HX342277,7/12/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1811
HX373847,7/13/2014,THEFT,OVER $500,RESTAURANT,N,N,1811
HX344458,7/14/2014,THEFT,OVER $500,CTA BUS,N,N,1811
HX345489,7/14/2014,THEFT,$500 AND UNDER,STREET,N,N,1811
HX346144,7/15/2014,THEFT,OVER $500,VEHICLE-COMMERCIAL,N,N,1811
HX348439,7/17/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,1811
