deceptive practice,24,3,844.8000000000001
battery,20,7,990.0
public peace violation,1,0,30.0
prostitution,0,0,0
motor vehicle theft,6,0,199.79999999999998
crim sexual assault,0,0,0
weapons violation,2,0,99.0
homicide,0,0,0
other offense,4,1,196.0
narcotics,8,7,50.32590755225331
criminal trespass,18,14,145.68025870389116
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,15,5,780.0
theft,117,9,3439.7999999999997
burglary,3,0,141.60000000000002
arson,0,0,0
liquor law violation,0,0,0
interference with public officer,1,1,2.9773762312054792
stalking,0,0,0
criminal damage,28,1,985.6000000000001
robbery,6,2,518.4000000000001
offense involving children,0,0,0
