deceptive practice,19,0,668.8000000000001
battery,21,9,1039.5
public peace violation,0,0,0
prostitution,0,0,0
motor vehicle theft,21,1,699.3
crim sexual assault,0,0,0
weapons violation,2,2,13.398193040424658
homicide,0,0,0
other offense,51,3,2499.0
narcotics,16,16,37.02773349353724
criminal trespass,19,15,153.7736064096629
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,1,0,58.2
assault,14,7,267.81623317281003
theft,77,5,2263.7999999999997
burglary,19,0,896.8000000000001
arson,0,0,0
liquor law violation,0,0,0
interference with public officer,1,1,2.9773762312054792
stalking,0,0,0
criminal damage,45,1,1584.0000000000002
robbery,2,0,172.8
offense involving children,1,1,6.699096520212329
