deceptive practice,11,1,387.20000000000005
battery,16,12,291.3605174077823
public peace violation,2,2,8.120116994196762
prostitution,0,0,0
motor vehicle theft,3,0,99.89999999999999
crim sexual assault,0,0,0
weapons violation,1,1,6.699096520212329
homicide,0,0,0
other offense,15,4,735.0
narcotics,12,12,27.770800120152927
criminal trespass,2,2,5.9547524624109585
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,8,2,416.0
theft,47,11,1381.8
burglary,6,0,283.20000000000005
arson,1,1,5.359277216169863
liquor law violation,0,0,0
interference with public officer,1,1,2.9773762312054792
stalking,0,0,0
criminal damage,21,2,739.2
robbery,6,2,518.4000000000001
offense involving children,0,0,0
