deceptive practice,16,4,563.2
battery,35,11,1732.5
public peace violation,9,8,99.32744911628943
prostitution,4,4,8.120116994196762
motor vehicle theft,9,1,299.7
crim sexual assault,5,0,575.0
weapons violation,9,8,163.89029104187756
homicide,0,0,0
other offense,15,3,735.0
narcotics,41,41,94.88356707718917
criminal trespass,12,8,97.12017246926078
gambling,2,2,1.353352832366127
kidnapping,1,0,108.0
intimidation,0,0,0
sex offense,1,0,58.2
assault,21,7,1092.0
theft,91,18,2675.4
burglary,26,2,1227.2
arson,0,0,0
liquor law violation,0,0,0
interference with public officer,3,3,8.932128693616438
stalking,0,0,0
criminal damage,50,4,1760.0000000000002
robbery,15,1,1296.0
offense involving children,1,0,49.5
