deceptive practice,10,0,352.0
battery,23,11,1138.5
public peace violation,1,1,4.060058497098381
prostitution,0,0,0
motor vehicle theft,24,1,799.1999999999999
crim sexual assault,0,0,0
weapons violation,2,1,36.42006467597279
homicide,0,0,0
other offense,10,0,490.0
narcotics,14,14,32.399266806845084
criminal trespass,2,1,16.18669541154346
gambling,1,1,0.6766764161830635
kidnapping,0,0,0
intimidation,1,0,33.0
sex offense,3,2,64.23175042853384
assault,21,3,1092.0
theft,79,13,2322.6
burglary,9,1,424.8
arson,1,0,39.6
liquor law violation,0,0,0
interference with public officer,0,0,0
stalking,2,1,33.10914970542981
criminal damage,31,2,1091.2
robbery,12,0,1036.8000000000002
offense involving children,1,0,49.5
