deceptive practice,8,1,281.6
battery,45,31,819.4514552093877
public peace violation,3,3,12.180175491295143
prostitution,8,8,16.240233988393523
motor vehicle theft,9,1,299.7
crim sexual assault,3,0,345.0
weapons violation,12,11,218.52038805583675
homicide,1,0,205.0
other offense,18,5,882.0
narcotics,43,43,99.51203376388133
criminal trespass,15,13,121.40021558657597
gambling,1,1,0.6766764161830635
kidnapping,0,0,0
intimidation,2,1,24.280043117315195
sex offense,1,0,58.2
assault,23,9,1196.0
theft,80,8,2352.0
burglary,33,2,1557.6000000000001
arson,0,0,0
liquor law violation,0,0,0
interference with public officer,4,4,11.909504924821917
stalking,0,0,0
criminal damage,42,5,1478.4
robbery,15,1,1296.0
offense involving children,1,1,6.699096520212329
