HX335765,7/7/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,311
HX348071,7/16/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,Y,N,311
HX344955,7/14/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,311
HX334499,7/7/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,Y,N,311
HX337424,7/8/2014,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,N,N,311
HX338106,7/9/2014,BATTERY,SIMPLE,CTA PLATFORM,N,N,311
HX342343,7/12/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,311
HX344840,7/13/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,311
HX344478,7/14/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,311
HX345668,7/15/2014,BATTERY,SIMPLE,STREET,N,N,311
HX347832,7/16/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,N,N,311
HX338665,7/9/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,311
HX341720,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,311
HX346388,7/15/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,311
HX348313,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,311
HX347652,7/16/2014,BURGLARY,FORCIBLE ENTRY,OTHER,N,N,311
HX345520,7/14/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,311
HX475195,7/16/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,311
HX345310,7/14/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,311
HX348628,7/17/2014,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,Y,N,311
HX347496,7/16/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,Y,Y,311
HX338600,7/9/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,311
HX347792,7/16/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,Y,N,311
HX335157,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,311
HX358062,7/9/2014,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,N,N,311
HX340263,7/10/2014,THEFT,$500 AND UNDER,STREET,N,N,311
HX341869,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,311
HX358058,7/16/2014,THEFT,FROM BUILDING,APARTMENT,N,Y,311
HX339209,7/10/2014,ASSAULT,SIMPLE,STREET,N,N,312
HX345570,7/15/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,312
HX347346,7/15/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,312
HX334040,7/6/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,312
HX336752,7/8/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,312
HX339780,7/10/2014,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,N,N,312
HX341054,7/11/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,312
HX342530,7/12/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,312
HX343370,7/13/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,312
HX345425,7/14/2014,BATTERY,SIMPLE,SIDEWALK,N,N,312
HX347076,7/16/2014,BATTERY,SIMPLE,GROCERY FOOD STORE,N,N,312
HX347940,7/16/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,312
HX348955,7/17/2014,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,N,N,312
HX344176,7/14/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,312
HX347597,7/16/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,312
HX357173,7/11/2014,BURGLARY,UNLAWFUL ENTRY,VACANT LOT/LAND,N,N,312
HX344508,7/13/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,312
HX346901,7/16/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,312
HX347572,7/16/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,312
HX348203,7/16/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,312
HX348989,7/17/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,312
HX340300,7/11/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,312
HX346556,7/11/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,312
HX337366,7/9/2014,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,Y,N,312
HX339762,7/10/2014,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,Y,N,312
HX348615,7/17/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,Y,N,312
HX339447,7/9/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,312
HX341718,7/12/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,N,N,312
HX353789,7/17/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE PORCH/HALLWAY,N,N,312
HX343826,7/13/2014,GAMBLING,GAME/DICE,ALLEY,Y,N,312
HX344079,7/13/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,RESIDENTIAL YARD (FRONT/BACK),Y,N,312
HX350094,7/18/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,312
HX333990,7/6/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,Y,N,312
HX336500,7/8/2014,OTHER OFFENSE,PAROLE VIOLATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,312
HX337021,7/8/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,Y,N,312
HX339533,7/10/2014,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,312
HX342611,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,312
HX348302,7/17/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,312
HX334728,7/7/2014,THEFT,$500 AND UNDER,HOTEL/MOTEL,N,N,312
HX336691,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,312
HX341949,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,312
HX333376,7/6/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,Y,312
HX349708,7/18/2014,THEFT,OVER $500,APARTMENT,N,Y,312
HX338235,7/9/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,Y,N,312
HX333210,7/6/2014,ARSON,AGGRAVATED,RESIDENCE,N,N,313
