deceptive practice,15,1,528.0
battery,40,18,1980.0
public peace violation,5,3,55.18191617571635
prostitution,0,0,0
motor vehicle theft,28,2,932.3999999999999
crim sexual assault,0,0,0
weapons violation,2,2,13.398193040424658
homicide,2,2,55.48746612701121
other offense,9,3,441.0
narcotics,103,103,238.36603436464597
criminal trespass,13,11,105.21352017503251
gambling,2,2,1.353352832366127
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,12,7,229.55677129098
theft,40,5,1176.0
burglary,11,3,519.2
arson,0,0,0
liquor law violation,0,0,0
interference with public officer,2,3,2.190631008186014
stalking,0,0,0
criminal damage,33,3,1161.6000000000001
robbery,6,0,518.4000000000001
offense involving children,0,0,0
