deceptive practice,13,2,457.6
battery,54,20,2673.0
public peace violation,7,7,28.42040947968867
prostitution,0,0,0
motor vehicle theft,10,0,333.0
crim sexual assault,2,1,84.61227146943173
weapons violation,6,5,109.26019402791837
homicide,0,0,0
other offense,8,3,392.0
narcotics,65,65,150.425167317495
criminal trespass,10,8,80.93347705771731
gambling,2,2,1.353352832366127
kidnapping,0,0,0
intimidation,0,0,0
sex offense,0,0,0
assault,19,4,988.0
theft,63,4,1852.1999999999998
burglary,27,0,1274.4
arson,1,0,39.6
liquor law violation,0,0,0
interference with public officer,3,3,8.932128693616438
stalking,0,0,0
criminal damage,44,5,1548.8000000000002
robbery,18,1,1555.2
offense involving children,4,0,198.0
