deceptive practice,12,1,422.40000000000003
battery,39,11,1930.5
public peace violation,1,1,4.060058497098381
prostitution,0,0,0
motor vehicle theft,9,1,299.7
crim sexual assault,0,0,0
weapons violation,0,0,0
homicide,1,0,205.0
other offense,12,2,588.0
narcotics,23,23,53.22736689695978
criminal trespass,20,14,161.86695411543462
gambling,0,0,0
kidnapping,0,0,0
intimidation,0,0,0
sex offense,2,0,116.4
assault,9,5,172.167578468235
theft,67,6,1969.8
burglary,18,3,849.6
arson,0,0,0
liquor law violation,2,2,1.3804198890134494
interference with public officer,2,2,5.9547524624109585
stalking,0,0,0
criminal damage,20,1,704.0
robbery,10,0,864.0
offense involving children,1,1,6.699096520212329
